第1道答案: 9’2051/4181
第7698道答案: 2’3446/22523
第7699道答案: 1’8830061/18543512
第7700道答案: 7900127/71096400
第7701道答案: 2’10518/23821
第7702道答案: 446292053/493551184
第7703道答案: 4’968749/17489813
第7704道答案: 11882/12825
第7705道答案: 1’5836/12369
第7706道答案: 2’138910129/445322956
第7707道答案: 1’7395837/17593895
第7708道答案: 2’26006/27117
第7709道答案: 18667343/38798240
第7710道答案: 1’175831/253456
第7711道答案: 1’198739/408680
第7712道答案: 274157/452598
第7713道答案: 3’119376/249899
第7714道答案: 407218/704415
第7715道答案: 27294629/81098500
第7716道答案: 2’1759341/8281280
第7717道答案: 3’31933206/35794705
第7718道答案: 3’64277/165126
第7719道答案: 19021897/116276370
第7720道答案: 241062093/386516758
第7721道答案: 642662/1175983
第7722道答案: 2’482071/2172764
第7723道答案: 6494557/8328056
第7724道答案: 2’210756/290431
第7725道答案: 1’3899/11077
第7726道答案: 2’2302899/2749376
第7727道答案: 34’4591/7664
第7728道答案: 521903232/621183953
第7729道答案: 54464/154889
第7730道答案: 2’53343/138491
第7731道答案: 2’2662631/9784522
第7732道答案: 1’45261/76615
第7733道答案: 1’748469/3797871
第7734道答案: 1’1466253/2479210
第7735道答案: 253553789/278940113
第7736道答案: 1’13505/190351
第7737道答案: 6’3817587/29566592
第7738道答案: 1’46274795/455720464
第7739道答案: 1’132038168/201985905
第7740道答案: 1’8293/90948
第7741道答案: 49’6/97
第7742道答案: 9’52737223/74968623
第7743道答案: 8’2890/15311
第7744道答案: 340366/656725
第7745道答案: 5’23644/28783
第7746道答案: 2’6698/15515
第7747道答案: 1’20401/68162
第7748道答案: 9746455/1763858564
第7749道答案: 2’259413/6551596
第7750道答案: 1’14210159/15780570
第7751道答案: 2’6397506/6761755
第7752道答案: 2’40559/125631
第7753道答案: 5’291462/385385
第7754道答案: 1’2178713/10162383
第7755道答案: 13’103189/13818870
第7756道答案: 1’2644747/8938800
第7757道答案: 3’43318/92795
第7758道答案: 1’353/2233
第7759道答案: 5’2349141/5260745
第7760道答案: 14’3503/15827
第7761道答案: 1059/258664
第7762道答案: 2’180519731/718263520
第7763道答案: 44764/167477
第7764道答案: 202960/813967
第7765道答案: 1’138083/206248
第7766道答案: 9’66959/92910
第7767道答案: 8’13273/19096
第7768道答案: 3’4065694/49990577
第7769道答案: 4766307/12268660
第7770道答案: 3’9675187/11814660
第7771道答案: 2’42210369/102468209
第7772道答案: 2’57155/64436
第7773道答案: 3’88470659/89828956
第7774道答案: 3’102211/220946
第7775道答案: 3’5679245/41180769
第7776道答案: 2’207273/304262
第7777道答案: 4’22429/23162
第7778道答案: 11’4208119/4298548
第7779道答案: 3’85769/128180
第7780道答案: 85641757/102116608
第7781道答案: 2’64861/158598
第7782道答案: 12/325
第7783道答案: 125912351/478578100
第7784道答案: 231/846319
第7785道答案: 1038175/2393541
第7786道答案: 31’224963/328560
第7787道答案: 3025697/3430152
第7788道答案: 2408987/13661945
第7789道答案: 1’3111085/10028016
第7790道答案: 421/6204
第7791道答案: 3’4974/11737
第7792道答案: 1’1059301/35869955
第7793道答案: 33’77492/82251
第7794道答案: 1’34385194/96609645
第7795道答案: 2’11671/25056
第7796道答案: 8’940238/5097675
第7797道答案: 2904/41515
第7798道答案: 9’3280373/9604925
第7799道答案: 1’35523/125132
第7800道答案: 1’2137/4893
第7801道答案: 1’2773847/44876260
第7802道答案: 1’273067/431940
第7803道答案: 1’835112377/934313345
第7804道答案: 1’94463/97647
第7805道答案: 1’42922961/171480772
第7806道答案: 3’11811/32528
第7807道答案: 203232/463133
第7808道答案: 59’84133/381985
第7809道答案: 2’380251355/528585408
第7810道答案: 2’2886569/9980386
第7811道答案: 230384/11297025
第7812道答案: 2’2224/38335
第7813道答案: 56817/277984
第7814道答案: 1’106590388/527392799
第7815道答案: 5’78806/81579
第7816道答案: 1’5646841/21285768
第7817道答案: 1’80334203/449300804
第7818道答案: 8473013/13611600
第7819道答案: 11’36044872/63318145
第7820道答案: 80776/116571
第7821道答案: 3’271498029/384071954
第7822道答案: 12314/34185
第7823道答案: 291377/557650
第7824道答案: 133337967/1513370288
第7825道答案: 3’25227/121055
第7826道答案: 88277409/892677965
第7827道答案: 1’23207/28435
第7828道答案: 5’248998511/270568298
第7829道答案: 225711/360226
第7830道答案: 1’9644/11165
第7831道答案: 4’9539/11914
第7832道答案: 2’35887/157759
第7833道答案: 4’5231/10138
第7834道答案: 1’3739/7236
第7835道答案: 19’228485/3739203
第7836道答案: 2’138367619/172289570
第7837道答案: 51588004/405657461
第7838道答案: 2’56531/76720
第7839道答案: 5166379/19281380
第7840道答案: 2’54941/187220
第7841道答案: 1’153562578/710107171
第7842道答案: 22091959/22360752
第7843道答案: 49’41/315
第7844道答案: 1017/9160
第7845道答案: 14623/17568
第7846道答案: 23’1429/2214
第7847道答案: 2’13260/17261
第7848道答案: 15’3414364/9632227
第7849道答案: 27’24789/70115
第7850道答案: 2’10309/11653
第7851道答案: 790/2101
第7852道答案: 15’3341/4161
第7853道答案: 215809/4579995
第7854道答案: 2’240533933/929613606
第7855道答案: 38848/74907
第7856道答案: 1’4541/4774
第7857道答案: 58751507/135670675
第7858道答案: 3’20588890/37997237
第7859道答案: 5’36350/65771
第7860道答案: 3’10821/41107
第7861道答案: 1’117459749/253855600
第7862道答案: 1’35752747/35760446
第7863道答案: 1’486537785/533788329
第7864道答案: 21’21465/81212
第7865道答案: 143045/416344
第7866道答案: 3’1832679/3046222
第7867道答案: 1’24401681/69634912
第7868道答案: 523138/530517
第7869道答案: 1’3715584/5120519
第7870道答案: 1808531/2453400
第7871道答案: 2’17251343/26045712
第7872道答案: 62107/92460
第7873道答案: 3’322223255/426230057
第7874道答案: 4’1916681/2272781
第7875道答案: 2’933623/3996707
第7876道答案: 14’3931/5152
第7877道答案: 564685257/846237262
第7878道答案: 14’1121531/1326104
第7879道答案: 6’2113301/5049870
第7880道答案: 2’22266754/30298003
第7881道答案: 64591101/264454093
第7882道答案: 34327/43516
第7883道答案: 10’2217/3632
第7884道答案: 3’122270465/128742132
第7885道答案: 1’29023/38503
第7886道答案: 143166/196823
第7887道答案: 7367/7810
第7888道答案: 6’21769/72128
第7889道答案: 1’3415/27897
第7890道答案: 105452589/1487705336
第7891道答案: 3’100167/108395
第7892道答案: 137875/228806
第7893道答案: 19907/59280
第7894道答案: 48236/238391
第7895道答案: 216’146/189
第7896道答案: 473982821/632226364
第7897道答案: 7’1101035/4809379
第7898道答案: 14375/32219
第7899道答案: 1’212884253/1624869442
第7900道答案: 1’226734659/396821270
第7901道答案: 132378/226873
第7902道答案: 12’7478737/9539805
第7903道答案: 1’534251/8566159
第7904道答案: 8’18521/48190
第7905道答案: 8’3854/4595
第7906道答案: 3’2135/39864
第7907道答案: 22’209141/440670
第7908道答案: 245’940/1111
第7909道答案: 1’8081/96390
第7910道答案: 1’28286/116571
第7911道答案: 69380165/159178656
第7912道答案: 187’213281/373230
第7913道答案: 2’12176/28861
第7914道答案: 1’119347/6121170
第7915道答案: 71133/139009
第7916道答案: 2’3522857/48768667
第7917道答案: 582487/611250
第7918道答案: 170667/178667
第7919道答案: 16324/64749
第7920道答案: 1’360409/424650
第7921道答案: 190365/290648
第7922道答案: 1’190899784/207440805
第7923道答案: 4’26770/57013
第7924道答案: 4’9871/11753
第7925道答案: 2’8678881/176204081
第7926道答案: 1’6451/30733
第7927道答案: 45080/159783
第7928道答案: 38’13640513/22222410
第7929道答案: 1’14195/38808
第7930道答案: 124546631/813864076
第7931道答案: 117257/541320
第7932道答案: 14821940/20354007
第7933道答案: 16’4360/18887
第7934道答案: 1’45879/75746
第7935道答案: 868/3611
第7936道答案: 1710815/7545888
第7937道答案: 15656437/16302594
第7938道答案: 1’1103/2299
第7939道答案: 2’596/16575
第7940道答案: 326468031/1315159696
第7941道答案: 1’82/465
第7942道答案: 331594/350805
第7943道答案: 1’62779856/191427075
第7944道答案: 3’3021/15392
第7945道答案: 1’53518051/194083312
第7946道答案: 182302372/1514196305
第7947道答案: 91’631487/1412360
第7948道答案: 33787/85646
第7949道答案: 1’221903/7967565
第7950道答案: 3’260894/370139
第7951道答案: 921586823/1718979596
第7952道答案: 12’4565003/6056300
第7953道答案: 1’33647/48504
第7954道答案: 1’7625/7999
第7955道答案: 3’27139/43648
第7956道答案: 25’170/669
第7957道答案: 241901/5006270
第7958道答案: 5’36704797/41013588
第7959道答案: 122’2659/3544
第7960道答案: 27185/32376
第7961道答案: 1927/5566
第7962道答案: 111’2789/4700
第7963道答案: 1’61278031/92955765
第7964道答案: 3’1152873/2714720
第7965道答案: 116851/290915
第7966道答案: 58’1253/86319
第7967道答案: 10990/212381
第7968道答案: 328264525/517911187
第7969道答案: 4’32551/132384
第7970道答案: 15046191/207650440
第7971道答案: 731/10875
第7972道答案: 1819842649/1899099330
第7973道答案: 31801/260354
第7974道答案: 785174/15659939
第7975道答案: 4’313125/977762
第7976道答案: 20’21977/123656
第7977道答案: 930184723/964515828
第7978道答案: 4’52586/3028333
第7979道答案: 5’1004191/1321125
第7980道答案: 278662789/453634656
第7981道答案: 81/781
第7982道答案: 7’16017/19198
第7983道答案: 89352788/329936739
第7984道答案: 12’5460489/6721460
第7985道答案: 2’2251/266409
第7986道答案: 22933/24119
第7987道答案: 62681485/158246193
第7988道答案: 2’111301906/401035547
第7989道答案: 247319642/313217289
第7990道答案: 7’1263729/37436875
第7991道答案: 25513/38151
第7992道答案: 32589/233770
第7993道答案: 54619/1657095
第7994道答案: 2’8818/11715
第7995道答案: 3’5879/15912
第7996道答案: 486080/719023
第7997道答案: 1’103/8323
第7998道答案: 10211/64232
第7999道答案: 1954/2219
第8000道答案: 34832/50987
第8001道答案: 1’9751/22550
第8002道答案: 15123/25694
第8003道答案: 6147786/18468307
第8004道答案: 2’199396413/254396096
第8005道答案: 7’1583791/24683640
第8006道答案: 22397/406410
第8007道答案: 664625/706482
第8008道答案: 1’7943908/8090181
第8009道答案: 5’7019/13511
第8010道答案: 75379517/1593467468
第8011道答案: 269289843/295181027
第8012道答案: 2359/11729
第8013道答案: 1’92107/194081
第8014道答案: 215654/450959
第8015道答案: 319439/373464
第8016道答案: 415067866/415964699
第8017道答案: 39349/58685
第8018道答案: 91’1299/57592
第8019道答案: 1735468171/1865541279
第8020道答案: 29689/30240
第8021道答案: 7’679304/1029435
第8022道答案: 4’12237239/81614949
第8023道答案: 8’943/3922
第8024道答案: 6112001/18491560
第8025道答案: 22724/159795
第8026道答案: 6’748771/1083896
第8027道答案: 84’6547/9928
第8028道答案: 8’11552957/21602970
第8029道答案: 24661/85690
第8030道答案: 11045/17822
第8031道答案: 1’13823/25942
第8032道答案: 4’67923/2066687
第8033道答案: 55’20/221
第8034道答案: 12’5481635/110318899
第8035道答案: 7’30775/103719
第8036道答案: 1’212490185/1783396332
第8037道答案: 7’3877/4305
第8038道答案: 1’3528476/3891253
第8039道答案: 7517239/9677108
第8040道答案: 1’154555513/778923629
第8041道答案: 24973/32361
第8042道答案: 3’167577287/201014154
第8043道答案: 1649/1740
第8044道答案: 32149562/62508765
第8045道答案: 1’30221/216300
第8046道答案: 1’21223/38332
第8047道答案: 46637/50456
第8048道答案: 49087121/76396617
第8049道答案: 48038611/1711341566
第8050道答案: 4’333266/436905
第8051道答案: 11112845/72582237
第8052道答案: 7’166859/834024
第8053道答案: 23’460547/723426
第8054道答案: 96082151/115543348
第8055道答案: 5879/13072
第8056道答案: 1’419/2622
第8057道答案: 1’11025844/84505225
第8058道答案: 12’1049/1540
第8059道答案: 4’4895237/28750184
第8060道答案: 246117681/1222675090
第8061道答案: 2’7967679/179885372
第8062道答案: 5’14675/72036
第8063道答案: 1’31113/115316
第8064道答案: 51428/429707
第8065道答案: 11’129427/133672
第8066道答案: 5500299/27121600
第8067道答案: 7’3766498/10222491
第8068道答案: 72475/631304
第8069道答案: 42324318/108088135
第8070道答案: 50’6764/14299
第8071道答案: 1’37648033/338095200
第8072道答案: 11’1279895/1798566
第8073道答案: 52’281/748
第8074道答案: 12’164/2067
第8075道答案: 5’1355/4016
第8076道答案: 263388219/652327967
第8077道答案: 2’4151/217080
第8078道答案: 20648/45731
第8079道答案: 1558528/126055083
第8080道答案: 475293798/791133667
第8081道答案: 6’118717/937023
第8082道答案: 40765/61908
第8083道答案: 7’6134668/27609491
第8084道答案: 22’2591/6235
第8085道答案: 95871871/204884420
第8086道答案: 11’209/522
第8087道答案: 2’56579/681090
第8088道答案: 9’991595/6240101
第8089道答案: 35’33607/53418
第8090道答案: 1533375/3101332
第8091道答案: 14’13987/47700
第8092道答案: 8’88493/818181
第8093道答案: 1’14893857/43545098
第8094道答案: 46’83/343
第8095道答案: 1’379646195/998971968
第8096道答案: 2’104769/213265
第8097道答案: 1625987/33555404
第8098道答案: 3467961/3874475
第8099道答案: 166349/799890
第8100道答案: 3’231957921/531676688
第8101道答案: 46927/470208
第8102道答案: 1’8968/15147
第8103道答案: 1’2137/16140
第8104道答案: 51479509/132400558
第8105道答案: 963316839/1223646976
第8106道答案: 723137/1947582
第8107道答案: 3’3733/5762
第8108道答案: 14’2646/8137
第8109道答案: 80125979/137281158
第8110道答案: 129311/201780
第8111道答案: 7259/15602
第8112道答案: 4’2273257/15686557
第8113道答案: 3’83879/281489
第8114道答案: 5’17/63
第8115道答案: 1’122165647/600446152
第8116道答案: 21’4989/8857
第8117道答案: 4’86821/136782
第8118道答案: 1’75716183/118709283
第8119道答案: 2’52139/141120
第8120道答案: 575033710/1709206417
第8121道答案: 2’11906941/30059505
第8122道答案: 6418004/12999029
第8123道答案: 1’75300539/80625688
第8124道答案: 1’68384/96605
第8125道答案: 3380993/3850221
第8126道答案: 2201682/15255089
第8127道答案: 128271045/439517882
第8128道答案: 34571/57222
第8129道答案: 95004/3784099
第8130道答案: 1014972101/1094859616
第8131道答案: 1’3072809/6946302
第8132道答案: 7709717/331901048
第8133道答案: 1’31882627/103974088
第8134道答案: 8’20816/53675
第8135道答案: 62645504/71666409
第8136道答案: 2’13240/26499
第8137道答案: 48’1857701/2086175
第8138道答案: 501093/3528616
第8139道答案: 6’338245/528666
第8140道答案: 1457134/4554745
第8141道答案: 2’1037405/6197044
第8142道答案: 335622097/936066544
第8143道答案: 228885501/429570842
第8144道答案: 3’1860701/5280017
第8145道答案: 3068999/10054050
第8146道答案: 5’117217/291536
第8147道答案: 1’65068343/98145568
第8148道答案: 6797/61776
第8149道答案: 38807/55468
第8150道答案: 182520/2137063
第8151道答案: 2’23191/75480
第8152道答案: 4’17948305/28430584
第8153道答案: 48871934/188586281
第8154道答案: 16572753/16630625
第8155道答案: 282469/334274
第8156道答案: 1’20227/304896
第8157道答案: 51648340/105933591
第8158道答案: 2’6091/95355
第8159道答案: 3’1755/45976
第8160道答案: 171/227
第8161道答案: 1’159969749/162705073
第8162道答案: 1’13398683/13659100
第8163道答案: 114835/153584
第8164道答案: 2’5569391/463612505
第8165道答案: 192723/257188
第8166道答案: 336811838/478955881
第8167道答案: 3/20
第8168道答案: 1522732283/1609782992
第8169道答案: 4’2639509/3499425
第8170道答案: 1’157337/169646
第8171道答案: 3’78738/269689
第8172道答案: 3’108049/165984
第8173道答案: 1’783919738/1154386035
第8174道答案: 2’120529878/380273941
第8175道答案: 16374970/197193061
第8176道答案: 11’213829/1399410
第8177道答案: 5’2647/3132
第8178道答案: 1’35393/64887
第8179道答案: 248157978/358809755
第8180道答案: 5’5660359/16356516
第8181道答案: 1’22836584/123080115
第8182道答案: 244926656/1379375575
第8183道答案: 446854019/1141785406
第8184道答案: 13’439/484
第8185道答案: 6’1964/6071
第8186道答案: 1794312/3141583
第8187道答案: 1’175745/214266
第8188道答案: 60’27747/43885
第8189道答案: 7’713417/1638065
第8190道答案: 3’113950207/290219834
第8191道答案: 6611901/17436722
第8192道答案: 8854241/21645750
第8193道答案: 823023289/2044843897
第8194道答案: 2’41/1342
第8195道答案: 5’147093/855406
第8196道答案: 1’151617/356720
第8197道答案: 2’12147/32465
第8198道答案: 1’2473/4898
第8199道答案: 1’611006103/784707847
第8200道答案: 7’19856399/21590595
第8201道答案: 13’3221/6118
第8202道答案: 6’33418/1055037
第8203道答案: 1’457613098/594087355
第8204道答案: 395967/1257593
第8205道答案: 11’5743171/14475214
第8206道答案: 3’8951833/11572371
第8207道答案: 69753677/80127840
第8208道答案: 3’5224/50689
第8209道答案: 2736981/80713150
第8210道答案: 124’35/132
第8211道答案: 84041/428532
第8212道答案: 4’15580367/22388803
第8213道答案: 2’196/3477
第8214道答案: 4’811939/9120870
第8215道答案: 2’20654356/89687293
第8216道答案: 2’52160149/132909920
第8217道答案: 4’4087/6526
第8218道答案: 674/1155
第8219道答案: 1’752430073/846077152
第8220道答案: 175523/183478
第8221道答案: 7’109574084/112203927
第8222道答案: 1’4349918/28591695
第8223道答案: 1’162622/537911
第8224道答案: 971623286/2056513407
第8225道答案: 266’3985/8829
第8226道答案: 4’40859919/55502246
第8227道答案: 6’522666/1153765
第8228道答案: 52407/351586
第8229道答案: 1’547/5738
第8230道答案: 12915136/1037941825
第8231道答案: 2’1821/12284
第8232道答案: 2’19994239/24199840
第8233道答案: 24’60933/2515489
第8234道答案: 5’70656/2291003
第8235道答案: 37’30976157/53982480
第8236道答案: 6747096/7783375
第8237道答案: 4’34415/77112
第8238道答案: 4’9921997/21940136
第8239道答案: 1’841407/47413750
第8240道答案: 3’240503/3083012
第8241道答案: 1’57295/84132
第8242道答案: 24’1483/3608
第8243道答案: 126671/138384
第8244道答案: 384997/578306
第8245道答案: 29758365/162156214
第8246道答案: 4’22039/24495
第8247道答案: 3’8483/14319
第8248道答案: 1’37703/45095
第8249道答案: 170’8051/26078
第8250道答案: 6’3536062/5554395
第8251道答案: 7’10024565/40160302
第8252道答案: 1350436642/1818560835
第8253道答案: 126911/296592
第8254道答案: 13810/170171
第8255道答案: 2’21072/40733
第8256道答案: 1’2233807/7024832
第8257道答案: 299/3339
第8258道答案: 64’89812/92807
第8259道答案: 3’2758309/3480068
第8260道答案: 44352/612305
第8261道答案: 1’26237/33655
第8262道答案: 1431705/181880903
第8263道答案: 12059/29120
第8264道答案: 1’94430297/767120592
第8265道答案: 5466/64235
第8266道答案: 84’195119/1723665
第8267道答案: 150049/1341392
第8268道答案: 37’1081/8466
第8269道答案: 32490437/36995024
第8270道答案: 2’1778911/6343662
第8271道答案: 25266867/165918562
第8272道答案: 1’101358131/1060196040
第8273道答案: 1452571723/1665599400
第8274道答案: 69593241/958051432
第8275道答案: 6719825/29167218
第8276道答案: 42237/473060
第8277道答案: 16199/56028
第8278道答案: 38106292/65690369
第8279道答案: 1’76450373/491070074
第8280道答案: 248110579/2040714064
第8281道答案: 2’8945159/30155382
第8282道答案: 5’9963782/32216275
第8283道答案: 1’5211/8855
第8284道答案: 3’3088/7749
第8285道答案: 200764/346709
第8286道答案: 9’30537/59911
第8287道答案: 4’144305552/159577105
第8288道答案: 83905/361368
第8289道答案: 1’79651/87106
第8290道答案: 325847/447653
第8291道答案: 30075/48199
第8292道答案: 167726178/180286513
第8293道答案: 46563/3535960
第8294道答案: 50’17162/54999
第8295道答案: 18237701/25354765
第8296道答案: 3012699/6787714
第8297道答案: 4003003/4321800
第8298道答案: 12’13/395
第8299道答案: 1’179737/278526
第8300道答案: 4863947/93867410
第8301道答案: 1’9583/12556
第8302道答案: 30927/99604
第8303道答案: 1’25085/110111
第8304道答案: 1’25843/87450
第8305道答案: 8’227221/1572993
第8306道答案: 4876/22185
第8307道答案: 1’42388666/155467125
第8308道答案: 2’4307/191679
第8309道答案: 21542113/55591536
第8310道答案: 162’86369/96720
第8311道答案: 1’11885063/14698593
第8312道答案: 4054561/5049720
第8313道答案: 67288/180107
第8314道答案: 1’42178025/52460976
第8315道答案: 4719/123338
第8316道答案: 24419/101440
第8317道答案: 2’561273343/734644864
第8318道答案: 203’25993/492765
第8319道答案: 62’301/736
第8320道答案: 7’1152339/3818014
第8321道答案: 127678607/285598174
第8322道答案: 1’5994479/10832292
第8323道答案: 43’17791/790395
第8324道答案: 3225883/3551775
第8325道答案: 2’191727/664573
第8326道答案: 74350385/127061536
第8327道答案: 2’27247057/154156392
第8328道答案: 678960/717211
第8329道答案: 1’439/44460
第8330道答案: 127/878
第8331道答案: 1’59/469
第8332道答案: 11217/13802
第8333道答案: 8255/19499
第8334道答案: 2’179637/407939
第8335道答案: 4’6957/13927
第8336道答案: 2’3413/28365
第8337道答案: 507348/749359
第8338道答案: 5’2471589/6788600
第8339道答案: 1’43579/54412
第8340道答案: 17’1063/10992
第8341道答案: 1’379303/770085
第8342道答案: 129983/396576
第8343道答案: 2102/18849
第8344道答案: 17’1081/4717
第8345道答案: 5’28265/32832
第8346道答案: 1’6002168/16561659
第8347道答案: 9’524677/854910
第8348道答案: 7’827181/2651792
第8349道答案: 3’402485/1471554
第8350道答案: 249153/763912
第8351道答案: 38892/128155
第8352道答案: 5549/11120
第8353道答案: 4566793/5830301
第8354道答案: 5’1736901/2982824
第8355道答案: 6’3018412/5340309
第8356道答案: 5’28543/83296
第8357道答案: 13899836/14105335
第8358道答案: 1510587159/1916792486
第8359道答案: 3’8233187/10220175
第8360道答案: 2’30813898/76691019
第8361道答案: 9’31/9477
第8362道答案: 30625/49591
第8363道答案: 1’2355/56144
第8364道答案: 1’5515/51911
第8365道答案: 4’7388/8313
第8366道答案: 85952/132363
第8367道答案: 3’29119/34720
第8368道答案: 5’27091/74947
第8369道答案: 6’17860339/98589083
第8370道答案: 6’6685/35646
第8371道答案: 1198/3215
第8372道答案: 3’118053252/131560823
第8373道答案: 437’250121/1632184
第8374道答案: 19’128759/146965
第8375道答案: 87911/902957
第8376道答案: 623/2266
第8377道答案: 2’20255738/62589517
第8378道答案: 456103697/829515444
第8379道答案: 5068448/21142903
第8380道答案: 68813888/129863385
第8381道答案: 1’168036109/1481494828
第8382道答案: 128627/204063
第8383道答案: 4993344/13516583
第8384道答案: 1’107400751/246943410
第8385道答案: 3’4034333/6379965
第8386道答案: 2’6019/60078
第8387道答案: 30747/79288
第8388道答案: 2’8753051/11523828
第8389道答案: 989696702/1621926149
第8390道答案: 11063/23940
第8391道答案: 618’64/119
第8392道答案: 1’179666867/863434728
第8393道答案: 15851/17404
第8394道答案: 1’15299201/37502010
第8395道答案: 112653/126352
第8396道答案: 1’6889/45087
第8397道答案: 12987/16468
第8398道答案: 12’186873/1192900
第8399道答案: 2’53470738/137438535
第8400道答案: 7’4340/5829
第8401道答案: 99750/3569813
第8402道答案: 1’446527/529166
第8403道答案: 2’21568/70253
第8404道答案: 1’165633087/261163142
第8405道答案: 4600/15873
第8406道答案: 1’8600695/11223057
第8407道答案: 21’374/435
第8408道答案: 1’15283/36406
第8409道答案: 4’67297/79632
第8410道答案: 5’3736671/5368256
第8411道答案: 1516/12467
第8412道答案: 35816/361539
第8413道答案: 7’527/1159
第8414道答案: 991/4033
第8415道答案: 2’116421/198493
第8416道答案: 5’245055/1044848
第8417道答案: 14438617/29523508
第8418道答案: 1’5367/17108
第8419道答案: 3’10317/40136
第8420道答案: 1’518619425/612467573
第8421道答案: 1935/3512
第8422道答案: 56068/136413
第8423道答案: 2’25578/39187
第8424道答案: 3’54948571/130072714
第8425道答案: 11’1848771/5130107
第8426道答案: 3’1966/10065
第8427道答案: 2’5377137/91930624
第8428道答案: 10’107370299/143984876
第8429道答案: 1’103017027/721210471
第8430道答案: 3’6612745/14210119
第8431道答案: 16’373/10967
第8432道答案: 90’4892/6727
第8433道答案: 1’7512339/196875088
第8434道答案: 5’1116196/1419015
第8435道答案: 115/269
第8436道答案: 2’472582/540421
第8437道答案: 8899/74648
第8438道答案: 1’510741/655504
第8439道答案: 1’52797847/97598820
第8440道答案: 1’313971475/396113896
第8441道答案: 113216103/149117818
第8442道答案: 17’730399/3242952
第8443道答案: 58227239/63531936
第8444道答案: 13’1740/24881
第8445道答案: 5’679/2574
第8446道答案: 385891/863380
第8447道答案: 1513637/10562331
第8448道答案: 22’312784/3851991
第8449道答案: 5’53305/68098
第8450道答案: 3790000/16632513
第8451道答案: 7’235893/1568002
第8452道答案: 25’4151/16281
第8453道答案: 7’4871/77691
第8454道答案: 1’85580/87531
第8455道答案: 4’128137/392700
第8456道答案: 1’207356023/308065050
第8457道答案: 2’159/748
第8458道答案: 1’3289100/3630033
第8459道答案: 1’100487/553890
第8460道答案: 1’1525919/6758604
第8461道答案: 1’137647827/159913402
第8462道答案: 7’8159/130471
第8463道答案: 3983068/4165599
第8464道答案: 338/483
第8465道答案: 11362/27263
第8466道答案: 212954/1662903
第8467道答案: 94875/186608
第8468道答案: 2’277252291/326827908
第8469道答案: 150353/332270
第8470道答案: 342501/1710646
第8471道答案: 7’8107301/249687916
第8472道答案: 5’3580661/16430986
第8473道答案: 8131/9095
第8474道答案: 10’106837/931320
第8475道答案: 1’5375597/122358163
第8476道答案: 8365/21716
第8477道答案: 2937899/3456054
第8478道答案: 89701/299632
第8479道答案: 5’136180613/376917797
第8480道答案: 3’3261/9350
第8481道答案: 864594937/1340289720
第8482道答案: 105464755/2129572948
第8483道答案: 2’37811/40160
第8484道答案: 3’84182/102129
第8485道答案: 1’837/5795
第8486道答案: 4613978/22069545
第8487道答案: 24837841/26948592
第8488道答案: 6’3/544
第8489道答案: 11’5491937/14957196
第8490道答案: 1011675/22467808
第8491道答案: 7705880/22746011
第8492道答案: 28288/202797
第8493道答案: 108/151
第8494道答案: 2’11524/12027
第8495道答案: 2’255979199/358439994
第8496道答案: 1’650778081/1178554624
第8497道答案: 3’7024087/7464600
第8498道答案: 84090/89089
第8499道答案: 1’68119/101244
第8500道答案: 2’15786272/36570885
第8501道答案: 22496760/43208057
第8502道答案: 1’4289699/4447710
第8503道答案: 3’23405/30846
第8504道答案: 1’9622/49203
第8505道答案: 17’1566801/1572416
第8506道答案: 24200/30303
第8507道答案: 3’191489/726768
第8508道答案: 36’1469/2256
第8509道答案: 32117/36140
第8510道答案: 421/1010
第8511道答案: 2’187694945/227453104
第8512道答案: 2’19440473/81862956
第8513道答案: 2’28407962/258594375
第8514道答案: 1’1887739/9559659
第8515道答案: 2’4903/18860
第8516道答案: 349071/454768
第8517道答案: 1’2701733/11519982
第8518道答案: 2’4422249/14391146
第8519道答案: 131538261/250021418
第8520道答案: 1’51343651/134788471
第8521道答案: 2’1186625/2732184
第8522道答案: 2’502/783
第8523道答案: 13520/1135101
第8524道答案: 3’19966/225453
第8525道答案: 1961/105704
第8526道答案: 84293/33929623
第8527道答案: 1’1541/15884
第8528道答案: 64’3636/6647
第8529道答案: 1’15071/143189
第8530道答案: 275219092/544893767
第8531道答案: 4’351006412/376468737
第8532道答案: 3’9823/13579
第8533道答案: 14’24228/139073
第8534道答案: 43928/146165
第8535道答案: 10’323/1248
第8536道答案: 6’1278069/10224568
第8537道答案: 1’152886/9451169
第8538道答案: 1’116915/134464
第8539道答案: 2’130037/371200
第8540道答案: 1’46327/114005
第8541道答案: 2805/7564
第8542道答案: 39’22/69
第8543道答案: 1’255288185/550318754
第8544道答案: 84790/92961
第8545道答案: 1’227294929/584772908
第8546道答案: 125’285451/456665
第8547道答案: 951181200/1018268813
第8548道答案: 6516045/33639478
第8549道答案: 51’168627/2313535
第8550道答案: 15’331439/346752
第8551道答案: 87’988163/1181160
第8552道答案: 2’6464/16375
第8553道答案: 3954224/29936133
第8554道答案: 10020/17501
第8555道答案: 7’1799/2427
第8556道答案: 4’133345/150696
第8557道答案: 3’2216/12775
第8558道答案: 1’47770007/122181750
第8559道答案: 3’61377/114026
第8560道答案: 327077/502227
第8561道答案: 3’5449/14893
第8562道答案: 11’19637/235620
第8563道答案: 1’14953/15169
第8564道答案: 23177/71121
第8565道答案: 74224/189141
第8566道答案: 4’277792/693873
